MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
22,204,33,27,49,177,233,152,59,184
24,205,33,27,50,177,233,152,59,184
23,203,32,27,49,177,232,151,59,184
22,202,33,26,49,176,232,152,59,184
23,204,34,29,51,177,233,153,60,185
23,204,34,27,49,176,231,151,58,183
23,203,33,28,50,177,232,153,60,184
22,202,32,26,50,176,231,153,60,185
23,203,33,28,51,178,232,151,59,183
22,202,32,27,50,176,232,152,60,185
22,202,32,27,48,176,232,152,59,184
22,201,32,27,49,176,232,151,58,183
22,202,32,27,49,176,231,152,58,184
22,202,32,26,50,176,232,152,58,184
22,203,33,27,49,176,232,151,58,184
23,205,34,28,51,177,233,152,59,184
22,202,32,27,49,176,231,151,59,183
22,202,32,27,50,181,233,152,58,183
23,203,33,28,50,177,233,153,60,185
22,202,33,27,50,176,232,152,58,183
22,203,33,27,49,176,232,152,58,184
22,203,32,27,50,176,232,152,59,184
23,203,33,29,50,177,233,152,59,184
24,203,33,28,50,177,240,155,60,184
22,202,33,29,51,177,232,152,59,184
22,201,32,26,50,176,231,151,59,183
22,202,32,27,49,176,232,151,58,184
23,204,34,28,50,179,234,153,60,185
23,202,33,28,50,177,233,153,60,185
22,203,33,27,49,177,232,151,58,184
22,202,33,27,49,176,230,151,58,183
22,202,32,26,49,181,235,152,59,183
22,202,32,26,49,176,231,151,59,183
22,202,33,27,50,177,232,152,60,185
22,202,33,28,50,177,232,153,60,185
24,204,33,28,50,177,233,152,59,185
23,204,33,27,49,176,232,151,58,183
22,202,32,26,49,176,230,150,60,187
22,202,32,27,51,179,231,151,58,184
22,201,32,27,49,176,231,151,58,184
23,204,34,28,51,177,233,153,59,185
22,202,33,28,50,177,232,152,59,185
23,205,34,28,51,177,233,152,60,184
22,202,32,27,49,176,230,151,59,183
22,203,33,27,49,176,230,151,58,183
23,203,33,27,50,177,233,153,59,185
24,204,33,28,50,177,233,153,60,185
22,202,32,27,50,177,231,152,58,184
22,203,33,27,50,176,232,152,59,185
22,205,34,28,51,177,233,152,60,184
22,203,33,27,49,175,237,155,59,184
24,204,33,28,50,177,232,152,60,185
22,203,32,27,50,176,232,151,60,184
22,203,32,27,49,176,232,151,59,184
23,202,32,27,49,176,233,152,59,184
22,203,32,27,49,176,232,151,59,183
23,204,33,28,51,177,233,152,60,184
23,204,33,28,50,178,239,154,60,185
23,204,34,29,50,177,233,153,59,184
23,204,33,28,51,178,234,153,60,185
22,204,33,27,50,176,232,151,58,184
22,203,32,26,49,176,231,151,58,183
23,203,33,27,50,180,232,151,59,182
22,202,32,26,49,176,231,151,59,184
22,203,32,26,50,176,232,152,58,184
23,204,34,28,51,178,233,152,60,184
23,202,32,27,49,176,231,151,58,183
22,202,32,28,50,176,230,151,58,183
23,202,33,26,49,176,231,152,58,184
22,203,32,27,49,177,232,152,58,184
